geoclue 2.6.0-3
geocode-glib 3.26.4-2
geocode-glib-common 3.26.4-2
gettext 0.21.1-2
ghostscript 10.0.0-2
giflib 5.2.1-2
git 2.38.1-2
gitkraken 8.10.1-1
glew 2.2.0-6
glew1.10 1.10.0-3
glfw-x11 3.3.8-1
glib-networking 1:2.74.0-1
glib2 2.74.3-1
glibc 2.36-6
glibmm 2.66.5-1
glibmm-2.68 2.74.0-1
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-desktop 1:43-1
gnome-desktop-common 1:43-1
gnome-keyring 1:42.1-2
gnu-free-fonts 20120503-8
gnugo 3.8-7
gnupg 2.2.40-1
gnutls 3.7.8-4
go 2:1.19.4-1
go-tools 4:0.4.0-1
gobject-introspection-runtime 1.74.0-1
google-chrome 106.0.5249.91-1
gperftools 2.10-1
gpgme 1.18.0-1
gpicview 0.2.5-7
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
granatier 22.12.0-1
grantlee 5.3.1-1
grantlee-editor 22.12.0-1
grantleetheme 22.12.0-1
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.8-2
grim 1.4.0-2
groff 1.22.4-7
grub 2:2.06.r403.g7259d55ff-1
gsettings-desktop-schemas 43.0-1
gsl 2.7.1-1
gsm 1.0.22-1
gssdp 1.6.2-1
gst-libav 1.20.4-3
gst-plugin-pipewire 1:0.3.61-1
gst-plugins-bad 1.20.4-3
gst-plugins-bad-libs 1.20.4-3
gst-plugins-base 1.20.4-3
gst-plugins-base-libs 1.20.4-3
gst-plugins-good 1.20.4-3
gstreamer 1.20.4-3
gtk-layer-shell 0.8.0-1
gtk-update-icon-cache 1:4.8.2-1
gtk2 2.24.33-2
gtk3 1:3.24.35-2
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview4 4.8.4-1
guile 3.0.8-3
gulp 4.0.2-3
gupnp 1:1.6.2-1
gupnp-igd 1.2.0-3
gvfs 1.50.2-1
gwenview 22.12.0-1
gzip 1.12-1
harfbuzz 5.3.1-3
harfbuzz-icu 5.3.1-3
hdf5 1.12.2-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highway 1.0.2-1
http-parser 2.9.4-1
hunspell 1.7.1-1
hwdata 0.365-1
hwloc 2.8.0-1
hyphen 2.8.8-5
hyprland 0.19.0beta-2
i3-gaps 4.21.1-1
i3status 2.14-1
iana-etc 20221107-1
ibus 1.5.27-1
icu 72.1-2
id3lib 3.8.3-18
ijs 0.35-5
imagemagick 7.1.0.53-1
imath 3.1.6-1
imlib2 1.9.1-2
incidenceeditor 22.12.0-1
inetutils 2.3-1
iniparser 4.1-4
intel-ucode 20221108-1
inxi 3.3.21.1-1
iproute2 6.0.0-1
iptables 1:1.8.8-2
iputils 20221126-1
iso-codes 4.12.0-1
itinerary 22.12.0-1
jansson 2.14-2
